time	I1	I2	I3		
0.0232600727	0.1132925	-0.9834864	0.8394431		
0.0233250450	0.1596884	-0.9737756	0.8437591		
0.0233900172	0.1796495	-0.9948156	0.8140872		
0.0234549895	0.2168741	-0.999671	0.8022184		
0.0235199618	0.2449275	-1.018553	0.781718		
0.0235849340	0.2611121	-1.052001	0.7428748		
0.0236499063	0.3134425	-1.040672	0.7493487		
0.0237148786	0.333943	-1.069265	0.7169794		
0.0237798508	0.380339	-1.067107	0.7202163		
0.0238448231	0.4046159	-1.091923	0.692163		
0.0239097954	0.4202611	-1.125372	0.6560173		
0.0239747677	0.4736703	-1.117279	0.6641096		
0.0240397399	0.4963289	-1.13778	0.6409116		
0.0241047122	0.5362509	-1.135622	0.6392931		
0.0241696845	0.5502777	-1.157202	0.6117792		
0.0242346567	0.5599884	-1.175005	0.5777915		
0.0242996290	0.5972131	-1.153965	0.5750941		
0.0243646013	0.6069239	-1.157202	0.5443433		
0.0244295735	0.6365957	-1.136701	0.5330141		
0.0244945458	0.6425301	-1.139938	0.5001053		
0.0245595181	0.6468459	-1.141017	0.4612621		
0.0246244904	0.6748993	-1.114582	0.4542488		
0.0246894626	0.6824521	-1.111345	0.4240375		
0.0247544349	0.7083476	-1.08545	0.4110898		
0.0248194072	0.713203	-1.081134	0.3706282		
0.0248843794	0.7126635	-1.077897	0.3242322		
0.0249493517	0.7396379	-1.040133	0.3156004		
0.0250143240	0.7455723	-1.029343	0.2756783		
0.0250792962	0.7703887	-0.9953551	0.2621911		
0.0251442685	0.7714677	-0.9872628	0.2190321		
0.0252092408	0.7649938	-0.9894208	0.1726361		
0.0252742131	0.7952051	-0.9457222	0.1704782		
0.0253391853	0.7930472	-0.935472	0.133793		
0.0254041576	0.8135477	-0.9047212	0.1186873		
0.0254691299	0.8167847	-0.8950104	0.08469959		
0.0255341021	0.8178636	-0.8906945	0.04208006		
0.0255990744	0.8475354	-0.8534698	0.0356062		
0.0256640467	0.8502329	-0.848075	-0.003236927		
0.0257290189	0.8604832	-0.8308113	-0.02805337		
0.0257939912	0.8755888	-0.8113898	-0.0534093		
0.0258589635	0.8788258	-0.8054554	-0.09225243		
0.0259239358	0.9052607	-0.7703887	-0.1014237		
0.0259889080	0.9084976	-0.7633753	-0.1451222		
0.0260538803	0.9095766	-0.756362	-0.1882813		
0.0261188526	0.936551	-0.7202163	-0.201229		
0.0261838248	0.9414063	-0.7115845	-0.2427696		
0.0262487971	0.9694597	-0.6792153	-0.2578752		
0.0263137694	0.9753941	-0.6722019	-0.2994158		
0.0263787416	0.9780915	-0.6700439	-0.3490487		
0.0264437139	1.009921	-0.6355167	-0.3603779		
0.0265086862	1.02233	-0.625806	-0.4003		
0.0265736585	1.049843	-0.5966736	-0.4202611		
0.0266386307	1.057396	-0.5928972	-0.4639596		
0.0267036030	1.076818	-0.5810285	-0.4974078		
0.0267685753	1.100016	-0.5659228	-0.5243822		
0.0268335475	1.111345	-0.5605279	-0.5637648		
0.0268985198	1.140477	-0.5324746	-0.5810285		
0.0269634921	1.145333	-0.5281586	-0.6193321		
0.0270284643	1.159359	-0.5098161	-0.6419905		
0.0270934366	1.162057	-0.4903945	-0.665728		
0.0271584089	1.142635	-0.4839206	-0.7078081		
0.0272233812	1.160438	-0.4353667	-0.6997158		
0.0272883534	1.144254	-0.4208005	-0.7250717		
0.0273533257	1.144793	-0.3868128	-0.7293876		
0.0274182980	1.12699	-0.3706282	-0.7504277		
0.0274832702	1.098937	-0.3695492	-0.7892708		
0.0275482425	1.111345	-0.3204558	-0.7698492		
